FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id10	0	id19	UN	0.0,4.04568136411392e-51,5.150914199871054e-65,1.753177874216899e-62,2.1241819910889523e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id10	0	id20	UN	0.0,4.04568136411392e-51,5.1509141998710826e-65,1.7531778742168957e-62,2.1241819910889563e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id11	0	id12	HAG	1.34059426252459e-205,0.206673077953742,2.631337887526369e-15,8.958214095919847e-13,1.0891198764866293e-09,0.20667307686372366	0.335	0.598	0.065	0.3648	-1	HAG	0.3
0	id11	0	id14	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id11	0	id15	CGH	0.0,7.52205226399302e-14,9.576988974577808e-28,3.259647612120839e-25,3.9494479463790766e-22,7.52205222446585e-14	0.68	0.319	0.0	0.1596	-1	CGH	0.3
0	id11	0	id16	CGH	0.0,2.66384900056352e-12,3.3915813946756985e-26,1.1543670170044726e-23,1.398651936400493e-20,2.6638489865654233e-12	0.644	0.355	0.0	0.1777	-1	CGH	0.3
0	id11	0	id17	CGH	0.0,1.59454336200727e-14,2.030153960845176e-28,6.90988214382733e-26,8.372138062158304e-23,1.594543353628202e-14	0.693	0.306	0.0	0.1532	-1	CGH	0.3
0	id11	0	id18	UN	0.0,4.04568136411392e-51,5.150914199871044e-65,1.7531778742168953e-62,2.124181991088955e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id11	0	id19	CGH	0.0,5.39222554837171e-16,6.865318507874765e-30,2.3366967572007163e-27,2.8311840134868335e-24,5.392225520036434e-16	0.718	0.281	0.0	0.1409	-1	CGH	0.3
0	id11	0	id20	CGH	0.0,1.08385635450331e-21,1.3799532352084713e-35,4.696843197714977e-33,5.6907797276998335e-30,1.0838563488078196e-21	0.791	0.208	0.0	0.1043	-1	CGH	0.3
0	id12	0	id14	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id12	0	id15	CGH	0.0,1.30715941802304e-10,1.6642600842255748e-24,5.664516711770645e-22,6.863230801803366e-19,1.307159411154128e-10	0.6	0.4	0.0	0.2	-1	HAG,CGH	0.3
0	id12	0	id16	CGH	0.0,3.66605845064637e-13,4.66758274600986e-27,1.5886699872783426e-24,1.9248612627327055e-21,3.666058431381824e-13	0.664	0.336	0.0	0.168	-1	CGH	0.3
0	id12	0	id17	CGH	0.0,3.77431186391204e-13,4.805409725791491e-27,1.6355811183993665e-24,1.9816996368499935e-21,3.77431184407864e-13	0.665	0.334	0.0	0.1673	-1	CGH	0.3
0	id12	0	id18	UN	0.0,4.04568136411392e-51,5.150914199871044e-65,1.7531778742168953e-62,2.124181991088955e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id12	0	id19	CGH	0.0,2.27018491427878e-18,2.890372883790555e-32,9.837744508003864e-30,1.1919589007002704e-26,2.270184902349324e-18	0.752	0.247	0.0	0.1236	-1	CGH	0.3
0	id12	0	id20	CGH	0.0,1.53028168215272e-20,1.948336741573674e-34,6.631407036320461e-32,8.034732590054243e-29,1.5302816741113365e-20	0.778	0.222	0.0	0.111	-1	CGH	0.3
0	id13	0	id14	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id13	0	id15	CGH	0.0,8.45183512909284e-15,1.0760777644916776e-28,3.6625648466262666e-26,4.437629748136136e-23,8.451835084679809e-15	0.698	0.301	0.0	0.151	-1	CGH	0.3
0	id13	0	id16	CGH	0.0,5.62268031149218e-13,7.158730817186808e-27,2.4365634490430497e-24,2.9521841154532006e-21,5.622680281945902e-13	0.661	0.338	0.0	0.1693	-1	CGH	0.3
0	id13	0	id17	CGH	0.0,5.39222554837171e-16,6.865319443621941e-30,2.3371537471693105e-27,2.8367602109882702e-24,5.392225519980668e-16	0.718	0.281	0.0	0.1409	-1	CGH	0.3
0	id13	0	id18	UN	0.0,4.04568136411392e-51,5.150914199871044e-65,1.7531778742168953e-62,2.124181991088955e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id13	0	id19	CGH	0.0,6.41794233791781e-18,8.17124912890292e-32,2.78118652760033e-29,3.369735850919691e-26,6.417942304192558e-18	0.746	0.253	0.0	0.1266	-1	CGH	0.3
0	id13	0	id20	CGH	0.0,1.1080156926285e-19,1.4107126219739094e-33,4.801536309389628e-31,5.817628152831298e-28,1.1080156868060562e-19	0.768	0.232	0.0	0.116	-1	CGH	0.3
0	id14	0	id18	UN	0.0,4.04568136411392e-51,5.150914199871082e-65,1.7531778742168957e-62,2.1241819910889554e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id14	0	id19	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id14	0	id20	UN	0.0,4.04568136411392e-51,5.1509141998710725e-65,1.7531779869735222e-62,2.124181991088952e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id15	0	id18	UN	0.0,4.04568136411392e-51,5.1509141998710885e-65,1.7531778742168983e-62,2.1241819910889514e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id15	0	id19	CGH	0.0,4.48317328749916e-19,5.7079238004003935e-33,1.9427630370601876e-30,2.353886800060068e-27,4.483173263940808e-19	0.761	0.238	0.0	0.1195	-1	CGH	0.3
